"DISTRITO","EFECTIVOS","PATRULLAJE","PROGRAMAS","OPERATIVOS","DENUNCIAS"
"ANCON",160,74,53,576,303
"ATE",736,246,11959,3779,5210
"BARRANCO",264,62,93,1122,1754
"BELLAVISTA",315,125,216,1399,330
"BREÑA",432,231,32,2099,2159
"CALLAO",1892,884,282,10735,6962
"CARABAYLLO",538,221,819,2686,2525
"CARMEN DE LA LEGUA REYNOSO",151,82,3,159,591
"CHACLACAYO",136,34,50,931,840
"CHORRILLOS",794,291,211,3893,1548
"CIENEGUILLA",134,54,78,3368,174
"COMAS",934,389,275,5264,4634
"EL AGUSTINO",707,284,167,2907,2837
"INDEPENDENCIA",540,217,167,4713,3589
"JESUS MARIA",190,68,17,440,705
"LA MOLINA",385,163,254,1653,933
"LA PERLA",166,94,12,1069,246
"LA PUNTA",188,52,5,37,108
"LA VICTORIA",675,314,123,4878,7108
"LIMA",1779,595,386,10560,8101
"LINCE",189,125,57,239,1033
"LOS OLIVOS",890,299,111,5505,15087
"LURIGANCHO",402,123,171,636,1267
"LURIN",141,49,156,98,351
"MAGDALENA DEL MAR",168,59,95,1046,1479
"MI PERU",156,40,20,12682,282
"MIRAFLORES",324,187,597,1717,800
"PACHACAMAC",239,143,83,3410,435
"PUCUSANA",70,32,76,816,84
"PUEBLO LIBRE",174,57,77,377,805
"PUENTE PIEDRA",652,254,254,1831,8202
"PUNTA HERMOSA",112,20,16,3266,142
"PUNTA NEGRA",85,32,6,1909,33
"RIMAC",835,271,383,8654,2747
"SAN BARTOLO",140,86,17,4016,84
"SAN BORJA",337,130,300,1012,1161
"SAN ISIDRO",370,213,232,410,549
"SAN JUAN DE LURIGANCHO",2788,1013,1254,17050,9079
"SAN JUAN DE MIRAFLORES",659,265,255,5206,1814
"SAN LUIS",291,84,267,3582,1419
"SAN MARTIN DE PORRES",711,202,194,1614,5987
"SAN MIGUEL",533,372,235,5975,2962
"SANTA ANITA",289,74,122,644,3765
"SANTA MARIA DEL MAR",60,22,20,222,3
"SANTA ROSA",120,42,110,2504,57
"SANTIAGO DE SURCO",587,269,241,3199,3879
"SURQUILLO",231,85,34,1469,874
"VENTANILLA",509,198,99,1068,2475
"VILLA EL SALVADOR",436,123,110,2339,1072
"VILLA MARIA DEL TRIUNFO",816,347,448,13873,2727
